number,value,datetime_start,datetime_complete,duration,params_ff_activation,params_ff_droput,params_ff_hidden_dim,params_opt,params_opt_lr,state
37,0.7444444444444445,2021-02-05 19:27:24.557721,2021-02-05 19:27:25.686197,0 days 00:00:01.128476000,sigmoid,0.1,64,Adam,0.01,COMPLETE
38,0.0,2021-02-05 19:27:25.687266,2021-02-05 19:27:26.820486,0 days 00:00:01.133220000,sigmoid,0.05,128,AdamW,0.1,COMPLETE
39,0.7165775401069518,2021-02-05 19:27:26.821480,2021-02-05 19:27:27.998503,0 days 00:00:01.177023000,relu,0.1,64,Adam,0.01,COMPLETE
40,0.7292817679558011,2021-02-05 19:27:27.999521,2021-02-05 19:27:29.148885,0 days 00:00:01.149364000,sigmoid,0.05,128,Adam,0.01,COMPLETE
41,0.7340425531914894,2021-02-05 19:27:29.149851,2021-02-05 19:27:30.306834,0 days 00:00:01.156983000,sigmoid,0.1,64,Adam,0.01,COMPLETE
42,0.7160493827160495,2021-02-05 19:27:30.307808,2021-02-05 19:27:31.442569,0 days 00:00:01.134761000,sigmoid,0.1,64,Adam,0.01,COMPLETE
43,0.7374301675977654,2021-02-05 19:27:31.443904,2021-02-05 19:27:32.688562,0 days 00:00:01.244658000,sigmoid,0.1,64,Adam,0.01,COMPLETE
44,0.6871165644171778,2021-02-05 19:27:32.689580,2021-02-05 19:27:33.818922,0 days 00:00:01.129342000,sigmoid,0.1,64,Adam,0.01,COMPLETE
45,0.7314285714285715,2021-02-05 19:27:33.820134,2021-02-05 19:27:34.964919,0 days 00:00:01.144785000,sigmoid,0.1,64,AdamW,0.01,COMPLETE
46,0.6995515695067265,2021-02-05 19:27:34.965963,2021-02-05 19:27:36.095963,0 days 00:00:01.130000000,tanh,0.1,64,Adam,0.1,COMPLETE
47,0.7431693989071039,2021-02-05 19:27:36.097029,2021-02-05 19:27:37.275954,0 days 00:00:01.178925000,sigmoid,0.1,64,Adam,0.01,COMPLETE
48,0.7282608695652173,2021-02-05 19:27:37.276975,2021-02-05 19:27:38.423308,0 days 00:00:01.146333000,sigmoid,0.05,64,Adam,0.01,COMPLETE
49,0.7462686567164178,2021-02-05 19:27:38.424301,2021-02-05 19:27:39.567593,0 days 00:00:01.143292000,sigmoid,0.1,128,Adam,0.01,COMPLETE
